epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.8853451609611511,9.999999747378752e-05,0.29486870765686035,0.7346278429031372,0.6878694891929626
11,0.9228906035423279,9.999999747378752e-05,0.1919059008359909,0.8155339956283569,0.5131363868713379
12,0.9354057312011719,9.999999747378752e-05,0.15462897717952728,0.8381876945495605,0.527522087097168
13,0.9459022879600525,9.999999747378752e-05,0.13239151239395142,0.8511326909065247,0.5504003763198853
14,0.9563988447189331,9.999999747378752e-05,0.11260882765054703,0.8673139214515686,0.5419543385505676
15,0.9689140319824219,4.999999873689376e-05,0.07947763800621033,0.8770226240158081,0.46166926622390747
16,0.9677028656005859,4.999999873689376e-05,0.07794344425201416,0.8834951519966125,0.3488052487373352
17,0.9693177342414856,4.999999873689376e-05,0.07368622720241547,0.893203854560852,0.32910090684890747
18,0.9765845537185669,4.999999873689376e-05,0.06205666810274124,0.9029126167297363,0.3005383312702179
19,0.9798142910003662,4.999999873689376e-05,0.05628984048962593,0.9061488509178162,0.33039045333862305
20,0.9753734469413757,4.999999873689376e-05,0.06781085580587387,0.8899676203727722,0.40380600094795227
21,0.9786031246185303,4.999999873689376e-05,0.0568065382540226,0.8899676203727722,0.4449792206287384
22,0.9814291596412659,2.499999936844688e-05,0.050971850752830505,0.9061488509178162,0.39359116554260254
23,0.9886959791183472,2.499999936844688e-05,0.02987435646355152,0.8899676203727722,0.39288899302482605
24,0.9899071455001831,2.499999936844688e-05,0.032206304371356964,0.8964401483535767,0.36272481083869934
