epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.7961243391036987,9.999999747378752e-05,1.0230903625488281,0.19093851745128632,70.71656036376953
11,0.8595074415206909,9.999999747378752e-05,0.48635947704315186,0.19093851745128632,95.17682647705078
12,0.8909971714019775,9.999999747378752e-05,0.3254002034664154,0.21359223127365112,33.187583923339844
13,0.9071457386016846,9.999999747378752e-05,0.26414722204208374,0.30744338035583496,13.879473686218262
14,0.9257165789604187,9.999999747378752e-05,0.23738358914852142,0.508090615272522,3.532137393951416
15,0.9261202812194824,9.999999747378752e-05,0.23333698511123657,0.6440129280090332,1.8189367055892944
16,0.9297537207603455,9.999999747378752e-05,0.20034050941467285,0.7928802371025085,0.9544095993041992
17,0.9446911811828613,9.999999747378752e-05,0.14103220403194427,0.8058252334594727,0.7410457134246826
18,0.9495357275009155,9.999999747378752e-05,0.13082456588745117,0.8770226240158081,0.42069464921951294
19,0.957610011100769,9.999999747378752e-05,0.11078813672065735,0.8770226240158081,0.3464016616344452
20,0.9531691670417786,9.999999747378752e-05,0.14280861616134644,0.8511326909065247,0.5989552736282349
21,0.9402502775192261,9.999999747378752e-05,0.1807437390089035,0.8608414530754089,0.6684808135032654
22,0.9527654647827148,9.999999747378752e-05,0.15320509672164917,0.9061488509178162,0.4599410891532898
23,0.9636657238006592,4.999999873689376e-05,0.10121964663267136,0.8705501556396484,0.6251435279846191
24,0.9677028656005859,4.999999873689376e-05,0.0906020998954773,0.8834951519966125,0.43746069073677063
25,0.9644731283187866,4.999999873689376e-05,0.08310013264417648,0.8964401483535767,0.3164163827896118
26,0.9781994223594666,4.999999873689376e-05,0.0626838281750679,0.8802589178085327,0.35394519567489624
27,0.9814291596412659,4.999999873689376e-05,0.05336783453822136,0.909385085105896,0.3915908634662628
28,0.9761808514595032,4.999999873689376e-05,0.06729305535554886,0.909385085105896,0.31730082631111145
29,0.9818328619003296,2.499999936844688e-05,0.05090624466538429,0.9158576130867004,0.3478914797306061
30,0.9761808514595032,2.499999936844688e-05,0.056217893958091736,0.8964401483535767,0.4347062110900879
31,0.9854663014411926,2.499999936844688e-05,0.048523593693971634,0.8964401483535767,0.44424793124198914
