epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.7973355054855347,9.999999747378752e-05,0.8885650038719177,0.19093851745128632,12.000030517578125
11,0.8566814661026001,9.999999747378752e-05,0.444166898727417,0.21359223127365112,20.113136291503906
12,0.8700040578842163,9.999999747378752e-05,0.4040129780769348,0.3236245810985565,6.218125343322754
13,0.8942269086837769,9.999999747378752e-05,0.33950701355934143,0.598705530166626,2.50502610206604
14,0.9148163199424744,9.999999747378752e-05,0.22759315371513367,0.7734627723693848,0.8241776823997498
15,0.928946316242218,9.999999747378752e-05,0.22153517603874207,0.8381876945495605,0.6044379472732544
16,0.925312876701355,9.999999747378752e-05,0.23108427226543427,0.7928802371025085,0.6266111135482788
17,0.9317722916603088,9.999999747378752e-05,0.1817181259393692,0.8964401483535767,0.3169809579849243
18,0.9418651461601257,9.999999747378752e-05,0.1702950894832611,0.8511326909065247,0.4202583134174347
19,0.9467097520828247,9.999999747378752e-05,0.13665154576301575,0.8867313861846924,0.3546707332134247
20,0.9535728693008423,9.999999747378752e-05,0.12304020673036575,0.9223300814628601,0.38847219944000244
21,0.9596285820007324,4.999999873689376e-05,0.11437714844942093,0.9061488509178162,0.42416924238204956
22,0.9656842947006226,4.999999873689376e-05,0.10372046381235123,0.9190938472747803,0.32596296072006226
23,0.9677028656005859,4.999999873689376e-05,0.09168193489313126,0.9288026094436646,0.34647491574287415
