epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8007896542549133,1.5744528770446777,0.7864768505096436,0.8125,0.19093851745128632,27.897926330566406,0.0,0.0
1,0.8405328989028931,0.4206477999687195,0.798663318157196,0.861261248588562,0.19093851745128632,41.93972396850586,0.0,0.0
2,0.8518369197845459,0.38510778546333313,0.809841513633728,0.8747747540473938,0.19093851745128632,28.296003341674805,0.0,0.0
3,0.8546628952026367,0.3276672065258026,0.8151260614395142,0.8738738894462585,0.23948219418525696,13.7764892578125,1.0,0.05999999865889549
4,0.8764634728431702,0.29919177293777466,0.8378151059150696,0.8981981873512268,0.19741100072860718,19.992372512817383,1.0,0.00800000037997961
5,0.8893823027610779,0.2661631405353546,0.8609671592712402,0.8981981873512268,0.38187703490257263,6.928774833679199,0.9836065769195557,0.23999999463558197
6,0.8821154832839966,0.26729220151901245,0.8495726585388184,0.8954954743385315,0.6278316974639893,1.515791893005371,0.9591836929321289,0.5640000104904175
7,0.891804575920105,0.2639852464199066,0.8616838455200195,0.9036036133766174,0.8414239287376404,0.39160075783729553,0.8628158569335938,0.9559999704360962
8,0.8922083377838135,0.26933392882347107,0.8618025779724121,0.9045044779777527,0.7702265381813049,0.5191442966461182,0.9049773812294006,0.800000011920929
9,0.8909971714019775,0.257509708404541,0.8571428656578064,0.908108115196228,0.8155339956283569,0.5783861875534058,0.831615149974823,0.9679999947547913
10,0.8962454795837402,0.23857437074184418,0.8686257600784302,0.9054054021835327,0.8478964567184448,0.5678185224533081,0.8561403751373291,0.9760000109672546
11,0.9119902849197388,0.20586103200912476,0.8858131766319275,0.9225225448608398,0.8414239287376404,0.4515671730041504,0.8453608155250549,0.984000027179718
12,0.9232943058013916,0.17854802310466766,0.9013961553573608,0.930630624294281,0.8543689250946045,0.3793562948703766,0.8727272748947144,0.9599999785423279
13,0.9200645685195923,0.17634789645671844,0.8979057669639587,0.9270270466804504,0.8834951519966125,0.31674453616142273,0.8933823704719543,0.972000002861023
14,0.9257165789604187,0.1730479747056961,0.9019097089767456,0.9360360503196716,0.8414239287376404,0.4507216811180115,0.8406779766082764,0.9919999837875366
15,0.9273314476013184,0.1696891486644745,0.9015544056892395,0.9405405521392822,0.8414239287376404,0.49411019682884216,0.8453608155250549,0.984000027179718
16,0.9317722916603088,0.16193178296089172,0.9123575687408447,0.9378378391265869,0.8640776872634888,0.46321460604667664,0.8661971688270569,0.984000027179718
17,0.9350020289421082,0.1441558301448822,0.9180616736412048,0.9387387633323669,0.8414239287376404,0.4904376268386841,0.8453608155250549,0.984000027179718
18,0.9467097520828247,0.13324792683124542,0.928196132183075,0.954954981803894,0.844660222530365,0.4839220643043518,0.8531468510627747,0.9760000109672546
19,0.9382317066192627,0.14676997065544128,0.920844316482544,0.9432432651519775,0.8381876945495605,0.45880523324012756,0.8649635314941406,0.9480000138282776
20,0.9418651461601257,0.1269243061542511,0.9192708134651184,0.954054057598114,0.8478964567184448,0.40779951214790344,0.8586572408676147,0.972000002861023
21,0.9446911811828613,0.1307435929775238,0.9263803958892822,0.9522522687911987,0.8317152261734009,0.4581906199455261,0.8485915660858154,0.9639999866485596
