epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.8066208958625793,9.999999747378752e-05,1.1130115985870361,0.19093851745128632,73.0256118774414
11,0.879289448261261,9.999999747378752e-05,0.43407484889030457,0.19093851745128632,60.937435150146484
12,0.8950343132019043,9.999999747378752e-05,0.34229913353919983,0.21682848036289215,29.53631591796875
13,0.9059345722198486,9.999999747378752e-05,0.28094926476478577,0.508090615272522,5.731420040130615
14,0.9232943058013916,9.999999747378752e-05,0.22901344299316406,0.6990291476249695,1.6087208986282349
15,0.9180459976196289,9.999999747378752e-05,0.25320035219192505,0.7928802371025085,0.9754957556724548
16,0.9200645685195923,9.999999747378752e-05,0.22987136244773865,0.8640776872634888,0.7611435055732727
17,0.9390391707420349,9.999999747378752e-05,0.14970451593399048,0.8058252334594727,0.688579797744751
18,0.9495357275009155,9.999999747378752e-05,0.13441622257232666,0.8770226240158081,0.5474457144737244
19,0.9402502775192261,9.999999747378752e-05,0.16634204983711243,0.8834951519966125,0.4868197739124298
20,0.953976571559906,9.999999747378752e-05,0.1532694697380066,0.8899676203727722,0.35355284810066223
21,0.9612434506416321,9.999999747378752e-05,0.11665680259466171,0.9126213788986206,0.3243730068206787
22,0.9559951424598694,9.999999747378752e-05,0.1280454397201538,0.9029126167297363,0.3551819920539856
23,0.9612434506416321,9.999999747378752e-05,0.10806862264871597,0.8899676203727722,0.4244404435157776
24,0.9636657238006592,9.999999747378752e-05,0.09553387761116028,0.9029126167297363,0.5881211757659912
25,0.9729511737823486,4.999999873689376e-05,0.09062118083238602,0.9029126167297363,0.4152916967868805
26,0.9814291596412659,4.999999873689376e-05,0.05354272574186325,0.9158576130867004,0.3477860391139984
27,0.9806216955184937,4.999999873689376e-05,0.04588847607374191,0.9158576130867004,0.3716825544834137
