epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.7864351868629456,9.999999747378752e-05,0.534640371799469,0.8058252334594727,0.5366377830505371
11,0.8817117214202881,9.999999747378752e-05,0.2612447738647461,0.8317152261734009,0.679374098777771
12,0.9071457386016846,9.999999747378752e-05,0.22384461760520935,0.8220064640045166,0.345669150352478
13,0.9301574230194092,9.999999747378752e-05,0.17077326774597168,0.8834951519966125,0.3371399939060211
14,0.950343132019043,9.999999747378752e-05,0.12213250249624252,0.8802589178085327,0.5389128923416138
15,0.9499394297599792,9.999999747378752e-05,0.1317506581544876,0.9029126167297363,0.3489421010017395
16,0.9620508551597595,9.999999747378752e-05,0.10208651423454285,0.9190938472747803,0.4041201174259186
17,0.9709326028823853,4.999999873689376e-05,0.07449879497289658,0.9223300814628601,0.20151028037071228
18,0.9761808514595032,4.999999873689376e-05,0.05551425367593765,0.8996763825416565,0.4757184684276581
19,0.9733548760414124,4.999999873689376e-05,0.06825858354568481,0.9190938472747803,0.1947542130947113
20,0.9761808514595032,4.999999873689376e-05,0.06043347343802452,0.9158576130867004,0.30152589082717896
21,0.983851432800293,4.999999873689376e-05,0.04536730423569679,0.9061488509178162,0.5033310055732727
22,0.9802179932594299,4.999999873689376e-05,0.05325951799750328,0.9320388436317444,0.1747308075428009
23,0.9890997409820557,4.999999873689376e-05,0.03264627233147621,0.9288026094436646,0.27394044399261475
24,0.9895034432411194,4.999999873689376e-05,0.025253312662243843,0.9288026094436646,0.37455838918685913
25,0.9786031246185303,4.999999873689376e-05,0.05578631907701492,0.9029126167297363,0.6742647886276245
26,0.9870811700820923,2.499999936844688e-05,0.030925987288355827,0.938511312007904,0.25331664085388184
27,0.9939442873001099,2.499999936844688e-05,0.015581582672894001,0.9190938472747803,0.4903770983219147
28,0.9967702627182007,2.499999936844688e-05,0.013099010102450848,0.9417475461959839,0.27501973509788513
