epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.8934194445610046,9.999999747378752e-05,0.2883888781070709,0.8090614676475525,0.45560309290885925
11,0.9204683303833008,9.999999747378752e-05,0.19969260692596436,0.8576051592826843,0.3729228079319
12,0.9273314476013184,9.999999747378752e-05,0.16357794404029846,0.8640776872634888,0.337904691696167
13,0.9430763125419617,9.999999747378752e-05,0.1451520323753357,0.8867313861846924,0.34583571553230286
14,0.9483245611190796,9.999999747378752e-05,0.12785270810127258,0.8511326909065247,0.5265985131263733
15,0.9632620215415955,9.999999747378752e-05,0.09727641195058823,0.8834951519966125,0.4080497622489929
16,0.9648768901824951,4.999999873689376e-05,0.08632303029298782,0.893203854560852,0.33417239785194397
17,0.9725474119186401,4.999999873689376e-05,0.07064700126647949,0.8834951519966125,0.43080607056617737
18,0.9681065678596497,4.999999873689376e-05,0.08588509261608124,0.8834951519966125,0.5880538821220398
19,0.9741622805595398,4.999999873689376e-05,0.06285329908132553,0.8996763825416565,0.4503636062145233
20,0.9773920178413391,2.499999936844688e-05,0.06122682988643646,0.8867313861846924,0.4590519666671753
21,0.982640266418457,2.499999936844688e-05,0.045789897441864014,0.909385085105896,0.3973692059516907
22,0.9798142910003662,2.499999936844688e-05,0.04824446141719818,0.909385085105896,0.4109179377555847
