epoch,accuracy,loss,val_accuracy,val_loss
10,0.8377069234848022,0.3663572371006012,0.8155339956283569,0.5090954899787903
11,0.8962454795837402,0.241953507065773,0.42718446254730225,0.8606191277503967
12,0.9180459976196289,0.20033031702041626,0.8673139214515686,0.3321574032306671
13,0.9430763125419617,0.15256698429584503,0.8381876945495605,0.427767276763916
14,0.9374243021011353,0.14908137917518616,0.909385085105896,0.22943340241909027
15,0.9507468938827515,0.12492957711219788,0.8737863898277283,0.42730584740638733
16,0.9547840356826782,0.12587369978427887,0.8899676203727722,0.4228054881095886
17,0.9612434506416321,0.10452896356582642,0.9223300814628601,0.26759055256843567
18,0.9697214365005493,0.08097907155752182,0.9288026094436646,0.22905734181404114
19,0.9842551350593567,0.050203412771224976,0.9288026094436646,0.24233068525791168
20,0.9810254573822021,0.05258273705840111,0.9320388436317444,0.2553528845310211
21,0.9818328619003296,0.04551102966070175,0.9190938472747803,0.24653887748718262
22,0.9822365641593933,0.044513870030641556,0.9255663156509399,0.25377342104911804
23,0.9866774082183838,0.03410273790359497,0.9320388436317444,0.25891345739364624
24,0.9903108477592468,0.03470732644200325,0.9255663156509399,0.2551130950450897
