Modell,Accuracy,F1-Score,True Pos (QR gefunden),False Pos (Fehlalarm),True Neg (Korrekt ignoriert),False Neg (QR übersehen),Input Size
Final-CNN-Model,0.9126,0.9441,228,5,54,22,"(256, 256)"
Base_Model,0.7476,0.8251,184,12,47,66,"(256, 256)"
