epoch,accuracy,loss,val_accuracy,val_loss
0,0.8865563273429871,0.2632121741771698,0.8349514603614807,0.40393388271331787
1,0.909164309501648,0.20698581635951996,0.8317152261734009,0.4241146743297577
2,0.9317722916603088,0.16975562274456024,0.8640776872634888,0.31506654620170593
3,0.9495357275009155,0.12957718968391418,0.8705501556396484,0.3250921666622162
4,0.9624545574188232,0.10234076529741287,0.9126213788986206,0.22582751512527466
5,0.9580137133598328,0.1007278561592102,0.9223300814628601,0.23682284355163574
6,0.9672991633415222,0.08228946477174759,0.8964401483535767,0.31562063097953796
7,0.9761808514595032,0.06803931295871735,0.9190938472747803,0.25677576661109924
8,0.9769883155822754,0.0591631680727005,0.893203854560852,0.38599351048469543
9,0.9830440282821655,0.04795369878411293,0.9029126167297363,0.2984142005443573
