Modell,Accuracy,F1-Score,True Pos (QR gefunden),False Pos (Fehlalarm),True Neg (Korrekt ignoriert),False Neg (QR übersehen),Input Size
Base_Winner_VGG16,0.9256,0.9545,241,14,45,9,"(224, 224)"
final_Model_VGG16,0.8932,0.9311,223,6,53,27,"(224, 224)"
