epoch,accuracy,loss,val_accuracy,val_loss
0,0.9123940467834473,0.1981496512889862,0.8770226240158081,0.31973618268966675
1,0.950343132019043,0.12805156409740448,0.8867313861846924,0.3171673119068146
2,0.9592248797416687,0.10843788832426071,0.8576051592826843,0.3991888463497162
3,0.9681065678596497,0.08845499157905579,0.8737863898277283,0.42281901836395264
4,0.9709326028823853,0.06726167351007462,0.8770226240158081,0.5008704662322998
5,0.9773920178413391,0.05864674597978592,0.8478964567184448,0.6261845231056213
6,0.9781994223594666,0.05536244064569473,0.893203854560852,0.4021802842617035
