epoch,accuracy,loss,val_accuracy,val_loss
0,0.7872426509857178,0.5271140336990356,0.8025889992713928,0.4240632653236389
1,0.8914008736610413,0.26035740971565247,0.893203854560852,0.29892387986183167
2,0.9208720326423645,0.1880684643983841,0.8608414530754089,0.39896515011787415
3,0.9236980080604553,0.18462075293064117,0.8802589178085327,0.264861136674881
4,0.9406540393829346,0.1377294808626175,0.8737863898277283,0.2873781621456146
5,0.9337908625602722,0.14745543897151947,0.9126213788986206,0.2091469168663025
6,0.9499394297599792,0.10970015823841095,0.9352750778198242,0.16768452525138855
7,0.9543802738189697,0.10798091441392899,0.938511312007904,0.16815349459648132
8,0.96649169921875,0.08537404984235764,0.9352750778198242,0.1527799367904663
9,0.9681065678596497,0.07697772979736328,0.9288026094436646,0.18280018866062164
10,0.9608397483825684,0.09256701916456223,0.9320388436317444,0.1719139814376831
11,0.9794105887413025,0.05379382148385048,0.9514563083648682,0.19018113613128662
12,0.9652805924415588,0.0935424417257309,0.938511312007904,0.13426904380321503
13,0.9798142910003662,0.05064145848155022,0.9158576130867004,0.3914123773574829
14,0.9725474119186401,0.05930773541331291,0.9449838399887085,0.16235484182834625
