epoch,accuracy,loss,val_accuracy,val_loss
0,0.8385143280029297,0.36537060141563416,0.8252426981925964,0.5076643824577332
1,0.9204683303833008,0.1870906502008438,0.909385085105896,0.2584717273712158
2,0.9438837170600891,0.14265544712543488,0.8737863898277283,0.28366604447364807
3,0.9547840356826782,0.11169488728046417,0.8964401483535767,0.307986319065094
4,0.9499394297599792,0.12407975643873215,0.8867313861846924,0.3204590678215027
5,0.9547840356826782,0.10926321893930435,0.9158576130867004,0.2034391462802887
6,0.96649169921875,0.08092678338289261,0.9223300814628601,0.198499858379364
7,0.9729511737823486,0.06794340908527374,0.9223300814628601,0.2119613140821457
8,0.9733548760414124,0.0637262687087059,0.9190938472747803,0.20812363922595978
9,0.9830440282821655,0.043734271079301834,0.9417475461959839,0.1491713672876358
10,0.983851432800293,0.04326857998967171,0.938511312007904,0.18151113390922546
11,0.982640266418457,0.04892032593488693,0.9449838399887085,0.21704503893852234
12,0.9802179932594299,0.050485312938690186,0.9579287767410278,0.15824493765830994
13,0.9858700037002563,0.035595934838056564,0.9417475461959839,0.2121485471725464
14,0.9846588373184204,0.040495287626981735,0.938511312007904,0.2597786784172058
