epoch,accuracy,loss,val_accuracy,val_loss
0,0.8869600296020508,0.26539018750190735,0.8187702298164368,0.4644095301628113
1,0.9067420363426208,0.22505219280719757,0.8187702298164368,0.4641421437263489
2,0.9140088558197021,0.2053522914648056,0.8122977614402771,0.46270570158958435
3,0.9273314476013184,0.18361914157867432,0.8349514603614807,0.43489038944244385
4,0.9265240430831909,0.17563074827194214,0.8155339956283569,0.4911864399909973
5,0.9358094334602356,0.16387516260147095,0.8058252334594727,0.5397190451622009
6,0.9479208588600159,0.13959839940071106,0.8414239287376404,0.42383208870887756
7,0.953976571559906,0.12479186058044434,0.8349514603614807,0.43286529183387756
8,0.950343132019043,0.1236828863620758,0.8511326909065247,0.4000500440597534
9,0.9636657238006592,0.10876379907131195,0.8414239287376404,0.42594385147094727
10,0.958821177482605,0.10615802556276321,0.8155339956283569,0.5215256810188293
11,0.9648768901824951,0.09006329625844955,0.8187702298164368,0.6702505946159363
12,0.9689140319824219,0.0892682895064354,0.8737863898277283,0.33488133549690247
13,0.9685102701187134,0.08182143419981003,0.8317152261734009,0.5038712024688721
14,0.9786031246185303,0.06581705063581467,0.8737863898277283,0.3842344582080841
