epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.8062171936035156,9.999999747378752e-05,0.8080304265022278,0.19093851745128632,17.40091896057129
11,0.8607186079025269,9.999999747378752e-05,0.5063591599464417,0.19741100072860718,7.303447246551514
12,0.8853451609611511,9.999999747378752e-05,0.4363529086112976,0.6407766938209534,1.6272393465042114
13,0.9031085968017578,9.999999747378752e-05,0.3512628674507141,0.6343042254447937,2.930887460708618
14,0.9083569049835205,9.999999747378752e-05,0.31566694378852844,0.754045307636261,1.2999178171157837
15,0.9208720326423645,9.999999747378752e-05,0.26679572463035583,0.8640776872634888,0.9142763018608093
16,0.9087606072425842,9.999999747378752e-05,0.3221106231212616,0.8252426981925964,0.5455160140991211
17,0.9136051535606384,9.999999747378752e-05,0.249543234705925,0.8381876945495605,0.7880425453186035
18,0.9333871603012085,9.999999747378752e-05,0.18646685779094696,0.8349514603614807,0.8070023655891418
19,0.9418651461601257,9.999999747378752e-05,0.1520746946334839,0.8673139214515686,0.3737007677555084
20,0.9563988447189331,9.999999747378752e-05,0.11819695681333542,0.893203854560852,0.3208620250225067
21,0.9547840356826782,9.999999747378752e-05,0.12905392050743103,0.8964401483535767,0.35067248344421387
22,0.9584174156188965,9.999999747378752e-05,0.11557307094335556,0.9061488509178162,0.2407069057226181
23,0.9628583192825317,9.999999747378752e-05,0.09933007508516312,0.9029126167297363,0.2956075072288513
24,0.9628583192825317,9.999999747378752e-05,0.09919798374176025,0.8802589178085327,0.34137892723083496
25,0.96649169921875,9.999999747378752e-05,0.09951388835906982,0.9126213788986206,0.3180871307849884
26,0.9717400074005127,4.999999873689376e-05,0.07301527261734009,0.9190938472747803,0.3026414215564728
27,0.9745659828186035,4.999999873689376e-05,0.06806507706642151,0.9288026094436646,0.2464432269334793
28,0.9777957201004028,4.999999873689376e-05,0.05750849097967148,0.9255663156509399,0.3018026649951935
