epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.7222446799278259,9.999999747378752e-05,0.5775665640830994,0.7669903039932251,0.5700283646583557
11,0.8587000370025635,9.999999747378752e-05,0.3434576988220215,0.8187702298164368,0.4556959867477417
12,0.9027048945426941,9.999999747378752e-05,0.23511111736297607,0.828478991985321,0.43417102098464966
13,0.8901897668838501,9.999999747378752e-05,0.2536390423774719,0.8576051592826843,0.3334619104862213
14,0.9394428730010986,9.999999747378752e-05,0.16714856028556824,0.8867313861846924,0.3207586705684662
15,0.9382317066192627,9.999999747378752e-05,0.14998333156108856,0.8899676203727722,0.3723870515823364
16,0.9374243021011353,9.999999747378752e-05,0.15369655191898346,0.8996763825416565,0.2786235213279724
17,0.9475171566009521,9.999999747378752e-05,0.12967731058597565,0.9029126167297363,0.20623573660850525
18,0.9515542984008789,9.999999747378752e-05,0.12760519981384277,0.9190938472747803,0.2264183610677719
19,0.9345983266830444,9.999999747378752e-05,0.14047232270240784,0.9126213788986206,0.2488878071308136
20,0.9321759939193726,9.999999747378752e-05,0.18461908400058746,0.8802589178085327,0.6289571523666382
21,0.9640694260597229,4.999999873689376e-05,0.09409093856811523,0.9126213788986206,0.21783003211021423
22,0.9672991633415222,4.999999873689376e-05,0.07825370132923126,0.909385085105896,0.27009299397468567
23,0.970125138759613,4.999999873689376e-05,0.07960060238838196,0.9320388436317444,0.14255185425281525
24,0.9757771492004395,4.999999873689376e-05,0.06459322571754456,0.8996763825416565,0.36863040924072266
25,0.9600322842597961,4.999999873689376e-05,0.1221412867307663,0.8640776872634888,1.4360871315002441
26,0.7097294926643372,4.999999873689376e-05,5.022096633911133,0.754045307636261,0.5909414887428284
27,0.8195397853851318,2.499999936844688e-05,0.4105150103569031,0.7799353003501892,0.6566563844680786
28,0.8510294556617737,2.499999936844688e-05,0.34593790769577026,0.7864077687263489,0.5292295217514038
29,0.8651594519615173,2.499999936844688e-05,0.31901296973228455,0.7961165308952332,0.5761302709579468
