epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
10,0.8425514698028564,9.999999747378752e-05,0.3458355665206909,0.8220064640045166,0.6754347085952759
11,0.9216794371604919,9.999999747378752e-05,0.2147545963525772,0.8802589178085327,0.40162393450737
12,0.9297537207603455,9.999999747378752e-05,0.1700621247291565,0.8381876945495605,0.6949701905250549
13,0.9511505961418152,9.999999747378752e-05,0.1231779158115387,0.8737863898277283,0.3610667884349823
14,0.9543802738189697,9.999999747378752e-05,0.10213686525821686,0.8996763825416565,0.2969089150428772
15,0.9535728693008423,9.999999747378752e-05,0.11284498870372772,0.9223300814628601,0.26096639037132263
16,0.96649169921875,9.999999747378752e-05,0.08529895544052124,0.9288026094436646,0.32604318857192993
17,0.9705288410186768,9.999999747378752e-05,0.08166363090276718,0.9223300814628601,0.16851067543029785
18,0.9656842947006226,9.999999747378752e-05,0.09097781777381897,0.9223300814628601,0.23879288136959076
19,0.974969744682312,9.999999747378752e-05,0.07531128078699112,0.909385085105896,0.35237446427345276
20,0.9717400074005127,9.999999747378752e-05,0.06825361400842667,0.9029126167297363,0.4498741924762726
21,0.9822365641593933,4.999999873689376e-05,0.050716761499643326,0.9288026094436646,0.14686426520347595
22,0.9846588373184204,4.999999873689376e-05,0.0381857305765152,0.9288026094436646,0.22289377450942993
23,0.991118311882019,4.999999873689376e-05,0.03050033189356327,0.9352750778198242,0.21170780062675476
24,0.9899071455001831,4.999999873689376e-05,0.026307979598641396,0.893203854560852,0.5959583520889282
25,0.991118311882019,2.499999936844688e-05,0.022960683330893517,0.938511312007904,0.22945243120193481
26,0.9951554536819458,2.499999936844688e-05,0.014992938376963139,0.9449838399887085,0.23561491072177887
27,0.996366560459137,2.499999936844688e-05,0.010329678654670715,0.9223300814628601,0.40750187635421753
