epoch,accuracy,loss,val_accuracy,val_loss
0,0.753330647945404,0.5239270329475403,0.8025889992713928,0.4490452706813812
1,0.8647557497024536,0.3302541971206665,0.8317152261734009,0.4196145832538605
2,0.8772708773612976,0.2803646922111511,0.8414239287376404,0.42187410593032837
3,0.8805006146430969,0.27116942405700684,0.8381876945495605,0.4216107130050659
4,0.8950343132019043,0.245027095079422,0.844660222530365,0.40677058696746826
5,0.8950343132019043,0.24892930686473846,0.8381876945495605,0.3984721899032593
6,0.9010900259017944,0.23516792058944702,0.8317152261734009,0.4313596487045288
7,0.9071457386016846,0.21390706300735474,0.8317152261734009,0.42316630482673645
8,0.909164309501648,0.21749716997146606,0.8478964567184448,0.38350164890289307
9,0.911586582660675,0.21759086847305298,0.8349514603614807,0.4096088409423828
10,0.9152200222015381,0.20919269323349,0.8414239287376404,0.4110494554042816
11,0.9144126176834106,0.20369911193847656,0.8576051592826843,0.3624601364135742
12,0.9168348908424377,0.19752153754234314,0.844660222530365,0.3802357614040375
13,0.9192571640014648,0.18370480835437775,0.8511326909065247,0.3640159070491791
14,0.9168348908424377,0.1873697191476822,0.8478964567184448,0.3861425518989563
15,0.9273314476013184,0.1797635406255722,0.8511326909065247,0.3860797882080078
16,0.9245054721832275,0.18677668273448944,0.8414239287376404,0.4026094675064087
