Modell,Accuracy,F1-Score,True Pos (QR gefunden),False Pos (Fehlalarm),True Neg (Korrekt ignoriert),False Neg (QR übersehen),Input Size
2_best_tuned_Bayesian_precision_2,0.8835,0.931,243,29,30,7,"(256, 256)"
"1_best_tuned_Bayesian_1_256,256",0.8835,0.9321,247,33,26,3,"(256, 256)"
4_Precision_2_lightGeom_argumentation,0.8673,0.9231,246,37,22,4,"(256, 256)"
3_Bayesian_1_heavyGeom+light_argumentation,0.8608,0.919,244,37,22,6,"(256, 256)"
bonus_Bayesian_1_lightGeom_argumentation,0.8576,0.9167,242,36,23,8,"(256, 256)"
bonus_Precision_2_lightGeom+light_argumentation,0.8479,0.9125,245,42,17,5,"(256, 256)"
bonus_Bayesian_1_lightGeom+light_argumentation,0.8479,0.9094,236,33,26,14,"(256, 256)"
