,precision,recall,f1-score,support
no_qr_code,0.9038461538461539,0.7966101694915254,0.8468468468468469,59.0
qr_code,0.953307392996109,0.98,0.9664694280078896,250.0
accuracy,0.9449838187702265,0.9449838187702265,0.9449838187702265,0.9449838187702265
macro avg,0.9285767734211314,0.8883050847457628,0.9066581374273682,309.0
weighted avg,0.9438633376244348,0.9449838187702265,0.9436288704399235,309.0
