,precision,recall,f1-score,support
no_qr_code,0.847457627118644,0.847457627118644,0.847457627118644,59.0
qr_code,0.964,0.964,0.964,250.0
accuracy,0.941747572815534,0.941747572815534,0.941747572815534,0.941747572815534
macro avg,0.905728813559322,0.905728813559322,0.905728813559322,309.0
weighted avg,0.941747572815534,0.941747572815534,0.941747572815534,309.0
