,precision,recall,f1-score,support
no_qr_code,0.8863636363636364,0.6610169491525424,0.7572815533980582,59.0
qr_code,0.9245283018867925,0.98,0.9514563106796117,250.0
accuracy,0.919093851132686,0.919093851132686,0.919093851132686,0.919093851132686
macro avg,0.9054459691252144,0.8205084745762712,0.854368932038835,309.0
weighted avg,0.9172411974665134,0.919093851132686,0.9143808715870173,309.0
