,precision,recall,f1-score,support
no_qr_code,0.9655172413793104,0.4745762711864407,0.6363636363636364,59.0
qr_code,0.8892857142857142,0.996,0.939622641509434,250.0
accuracy,0.8964401294498382,0.8964401294498382,0.8964401294498382,0.8964401294498382
macro avg,0.9274014778325124,0.7352881355932204,0.7879931389365351,309.0
weighted avg,0.9038412485851387,0.8964401294498382,0.8817188185204304,309.0
