,precision,recall,f1-score,support
no_qr_code,0.24686192468619247,1.0,0.3959731543624161,59.0
qr_code,1.0,0.28,0.4375,250.0
accuracy,0.4174757281553398,0.4174757281553398,0.4174757281553398,0.4174757281553398
macro avg,0.6234309623430963,0.64,0.41673657718120805,309.0
weighted avg,0.8561969370760043,0.4174757281553398,0.4295709259138594,309.0
