,precision,recall,f1-score,support
no_qr_code,0.20802919708029197,0.9661016949152542,0.34234234234234234,59.0
qr_code,0.9428571428571428,0.132,0.23157894736842105,250.0
accuracy,0.2912621359223301,0.2912621359223301,0.2912621359223301,0.2912621359223301
macro avg,0.5754431699687174,0.5490508474576271,0.2869606448553817,309.0
weighted avg,0.8025501888091358,0.2912621359223301,0.2527279451142507,309.0
