,precision,recall,f1-score,support
no_qr_code,0.7368421052631579,0.4745762711864407,0.5773195876288659,59.0
qr_code,0.8856088560885609,0.96,0.9213051823416507,250.0
accuracy,0.8673139158576052,0.8673139158576052,0.8673139158576052,0.8673139158576052
macro avg,0.8112254806758594,0.7172881355932204,0.7493123849852583,309.0
weighted avg,0.8572035541510244,0.8673139158576052,0.8556250849693067,309.0
