,precision,recall,f1-score,support
no_qr_code,0.9259259259259259,0.423728813559322,0.5813953488372093,59.0
qr_code,0.8794326241134752,0.992,0.9323308270676691,250.0
accuracy,0.883495145631068,0.883495145631068,0.883495145631068,0.883495145631068
macro avg,0.9026792750197006,0.707864406779661,0.7568630879524392,309.0
weighted avg,0.888309985948215,0.883495145631068,0.8653237292825651,309.0
